1		Bioinformatics	Oxford University Press	http://dblp.uni-trier.de/db/journals/bioinformatics/
2		Briefings in Bioinformatics	Oxford University Press	http://dblp.uni-trier.de/db/journals/bib/
3	Cognition	Cognitionï¼šInternational Journal of Cognitive Science	Elsevier	http://www.journals.elsevier.com/cognition/
4	TASAE	IEEE Transactions on Automation Science and Engineering	IEEE	http://dblp.uni-trier.de/db/journals/tase/
5	TGARS	IEEE Transactions on Geoscience and Remote Sensing	IEEE	http://dblp.uni-trier.de/db/journals/tgrs/
6	TITS	IEEE Transactions on Intelligent Transportation Systems	IEEE	http://dblp.uni-trier.de/db/journals/tits/
7	TMI	IEEE Transactions on Medical Imaging	IEEE	http://dblp.uni-trier.de/db/journals/tmi/
8	TR	IEEE Transactions on Robotics	IEEE	http://dblp.uni-trier.de/db/journals/trob/
9	TCBB	IEEE-ACM Transactions on Computational Biology and Bioinformatics	IEEE/ACM	http://dblp.uni-trier.de/db/journals/tcbb/
10	JCST	Journal of Computer Science and Technology	SCIENCE PRESS/Springer	http://dblp.uni-trier.de/db/journals/jcst/
11	JAMIA	Journal of the American Medical Informatics Association	BMJ Journals	http://dblp.uni-trier.de/db/journals/jamia/
12		PLOS Computational Biology	Public Library of Science	http://dblp.uni-trier.de/db/journals/ploscb/
13		Science China Information Sciences	Science in China Press/Springer	http://dblp.uni-trier.de/db/journals/chinaf/
14		The Computer Journal	Oxford University Press	http://dblp.uni-trier.de/db/journals/cj/
15		World Wide Web Journal	Springer	https://www.springer.com/journal/11280
